grouped,year,category,avgmedianPrice
Middle East & North Africa,2023,oil and fats,10.148636363636363
Middle East & North Africa,2023,pulses and nuts,4.594090909090909
Middle East & North Africa,2023,vegetables and fruits,1.815
Middle East & North Africa,2024,cereals and tubers,2.9149999999999996
Middle East & North Africa,2024,"meat, fish and eggs",29.877272727272725
Middle East & North Africa,2024,milk and dairy,5.3445
Middle East & North Africa,2024,miscellaneous food,2.5604545454545455
Middle East & North Africa,2024,non-food,4.97
Middle East & North Africa,2024,oil and fats,5.939545454545454
Middle East & North Africa,2024,pulses and nuts,5.155909090909091
Middle East & North Africa,2024,vegetables and fruits,2.2859090909090907
Middle East & North Africa,2025,cereals and tubers,4.309545454545455
Middle East & North Africa,2025,"meat, fish and eggs",62.152272727272724
Middle East & North Africa,2025,milk and dairy,6.531000000000001
Middle East & North Africa,2025,miscellaneous food,3.152272727272727
Middle East & North Africa,2025,non-food,5.2283333333333335
Middle East & North Africa,2025,oil and fats,7.222727272727273
Middle East & North Africa,2025,pulses and nuts,7.9363636363636365
Middle East & North Africa,2025,vegetables and fruits,2.838636363636364
South Asia,2017,cereals and tubers,0.5414285714285715
South Asia,2017,"meat, fish and eggs",1.1949999999999998
South Asia,2017,milk and dairy,0.72
South Asia,2017,miscellaneous food,0.5083333333333333
South Asia,2017,non-food,1.2416666666666667
South Asia,2017,oil and fats,1.3533333333333335
South Asia,2017,pulses and nuts,1.1633333333333333
South Asia,2017,vegetables and fruits,0.37
South Asia,2018,cereals and tubers,0.41500000000000004
South Asia,2018,"meat, fish and eggs",1.045
South Asia,2018,milk and dairy,0.6725
South Asia,2018,miscellaneous food,0.5766666666666667
South Asia,2018,non-food,1.2566666666666666
South Asia,2018,oil and fats,1.26
South Asia,2018,pulses and nuts,0.89625
South Asia,2018,vegetables and fruits,0.31
South Asia,2019,cereals and tubers,0.4014285714285714
South Asia,2019,"meat, fish and eggs",1.9
South Asia,2019,milk and dairy,0.645
South Asia,2019,miscellaneous food,0.37999999999999995
South Asia,2019,non-food,1.4475
South Asia,2019,oil and fats,1.286
South Asia,2019,pulses and nuts,0.9550000000000001
South Asia,2019,vegetables and fruits,0.595
South Asia,2020,cereals and tubers,0.43714285714285717
South Asia,2020,"meat, fish and eggs",2.255
South Asia,2020,milk and dairy,0.6533333333333333
South Asia,2020,miscellaneous food,0.7619999999999999
South Asia,2020,non-food,0.8524999999999999
South Asia,2020,oil and fats,1.365
South Asia,2020,pulses and nuts,1.0992857142857144
South Asia,2020,vegetables and fruits,0.6033333333333334
South Asia,2021,cereals and tubers,0.4342857142857143
South Asia,2021,"meat, fish and eggs",1.4866666666666666
South Asia,2021,milk and dairy,0.6900000000000001
South Asia,2021,miscellaneous food,0.8350000000000002
South Asia,2021,non-food,1.0074999999999998
South Asia,2021,oil and fats,1.9514285714285715
South Asia,2021,pulses and nuts,1.1457142857142857
South Asia,2021,vegetables and fruits,0.5566666666666666
South Asia,2022,cereals and tubers,0.4928571428571429
South Asia,2022,"meat, fish and eggs",2.67
South Asia,2022,milk and dairy,0.66
South Asia,2022,miscellaneous food,1.192
South Asia,2022,non-food,1.495
South Asia,2022,oil and fats,2.037857142857143
South Asia,2022,pulses and nuts,1.3350000000000002
South Asia,2022,vegetables and fruits,0.64
South Asia,2023,cereals and tubers,0.5128571428571428
South Asia,2023,"meat, fish and eggs",2.7466666666666666
South Asia,2023,milk and dairy,0.68
South Asia,2023,miscellaneous food,1.093
South Asia,2023,non-food,1.6325
South Asia,2023,oil and fats,1.6821428571428572
South Asia,2023,pulses and nuts,1.2514285714285713
