country,year,category,sumPrice,meanPrice,medianPrice
BTN,2018,cereals and tubers,79.84,0.4158333333333333,0.39
BTN,2018,pulses and nuts,158.16,0.8503225806451613,0.87
CAF,2018,cereals and tubers,252.474,0.4827418738049713,0.36
CAF,2018,"meat, fish and eggs",1289.69,5.9160091743119265,5.085
CAF,2018,oil and fats,205.12,1.47568345323741,1.4
CAF,2018,pulses and nuts,437.56,0.9134864300626304,0.91
CAF,2018,vegetables and fruits,35.81,5.115714285714286,5.4
CHN,2018,cereals and tubers,85.85,0.5140718562874251,0.53
CIV,2018,cereals and tubers,87.75,0.5929054054054054,0.605
CIV,2018,"meat, fish and eggs",278.05,3.7574324324324326,3.48
CIV,2018,miscellaneous food,18.17,1.297857142857143,1.3
CIV,2018,non-food,1.22,0.61,0.61
CIV,2018,oil and fats,20.82,1.487142857142857,1.5
CIV,2018,pulses and nuts,21.42,0.9736363636363636,0.96
CIV,2018,vegetables and fruits,3.48,0.58,0.56
