Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4344.41262797387,4616.72540271144,4871.31673952472,4774.05099950427,5289.63127112514,..,..,..
Botswana,BWA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4820.94171023135,4645.50879111756,4962.39457545158,4899.49572739998,4982.56118800285,..,..,..
Brazil,BRA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6573.61849650553,6589.19502762701,6631.24785852918,6418.47283900121,6478.17095886485,..,..,..
British Virgin Islands,VGB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,24674.101648131,23846.7957389414,24507.5990590363,23347.503084431,22590.7382824162,..,..,..
Bulgaria,BGR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6724.82311782503,6946.1905394667,7496.15133989967,7419.75300420507,8074.14794424628,..,..,..
Burkina Faso,BFA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,592.070692466779,621.472298906676,648.118901965858,637.958202144383,587.451463117572,..,..,..
Burundi,BDI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,178.57109193623,187.237768690997,188.383729611937,186.42880363641,182.790634107554,..,..,..
Cabo Verde,CPV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2842.37912504767,3070.53974769136,3265.38175426326,2733.8640303118,2921.80931955411,..,..,..
Cambodia,KHM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1135.52130293517,1206.62228950259,1306.59993665878,1323.85825939503,1291.77889367697,..,..,..
