country,year,category,sumPrice,meanPrice
VNM,2017,cereals and tubers,7.9,0.3291666666666666
YEM,2017,cereals and tubers,933.42,1.0523337091319052
YEM,2017,"meat, fish and eggs",29666.81,62.85341101694915
YEM,2017,miscellaneous food,295.93,0.7726631853785901
YEM,2017,non-food,10776.16,7.842911208151382
YEM,2017,oil and fats,315.36,1.5534975369458128
YEM,2017,pulses and nuts,1416.32,1.8684960422163588
YEM,2017,vegetables and fruits,398.98,0.9999498746867168
ZAF,2017,cereals and tubers,7.7,0.2138888888888889
ZMB,2017,cereals and tubers,982.687,0.5505249299719888
ZMB,2017,non-food,25.66,1.2219047619047618
ZMB,2017,pulses and nuts,2006.76,1.8896045197740112
ZWE,2017,cereals and tubers,198.05,0.4682033096926714
ZWE,2017,miscellaneous food,22.2,1.1684210526315788
ZWE,2017,oil and fats,328.94,2.018036809815951
ZWE,2017,pulses and nuts,420.97,1.9857075471698111
AFG,2018,cereals and tubers,146.64,0.4887999999999999
AFG,2018,non-food,1479.39,3.852578125
AGO,2018,cereals and tubers,100.05,1.7552631578947369
AGO,2018,"meat, fish and eggs",20.22,10.11
AGO,2018,milk and dairy,408.01,34.00083333333333
AGO,2018,miscellaneous food,19.6,2.45
AGO,2018,oil and fats,105.87,5.572105263157895
AGO,2018,pulses and nuts,1.13,1.13
ARG,2018,cereals and tubers,57.93,0.8777272727272727
ARG,2018,"meat, fish and eggs",9.32,3.106666666666667
ARG,2018,milk and dairy,11.69,0.9741666666666666
ARG,2018,miscellaneous food,11.57,0.9641666666666668
ARM,2018,cereals and tubers,748.71,0.9549872448979592
ARM,2018,"meat, fish and eggs",2566.538,4.207439344262295
ARM,2018,milk and dairy,663.96,2.7211475409836066
ARM,2018,miscellaneous food,375.67,1.0377624309392266
ARM,2018,non-food,231.03,0.9429795918367349
ARM,2018,oil and fats,180.56,1.48
ARM,2018,pulses and nuts,671.65,2.029154078549849
ARM,2018,vegetables and fruits,676.79,0.7943544600938967
BDI,2018,cereals and tubers,1691.069,0.5499411382113821
BDI,2018,"meat, fish and eggs",5461.46,5.754963119072708
BDI,2018,miscellaneous food,228.49,0.5492548076923077
BDI,2018,non-food,1395.98,1.6618809523809523
BDI,2018,oil and fats,1189.0,1.64
BDI,2018,pulses and nuts,351.81,0.5575435816164818
BDI,2018,vegetables and fruits,598.79,0.6289810924369748
BEN,2018,cereals and tubers,55.06,0.5920430107526882
BFA,2018,cereals and tubers,9591.22,5.406550169109357
BFA,2018,pulses and nuts,552.45,0.646140350877193
BGD,2018,cereals and tubers,847.04,5.882222222222222
BGD,2018,oil and fats,36.71,0.8537209302325581
BGD,2018,pulses and nuts,36.03,0.750625
BLR,2018,cereals and tubers,26.56,0.7377777777777779
BOL,2018,cereals and tubers,8012.467,9.65357469879518
BOL,2018,"meat, fish and eggs",3379.19,14.25818565400844
BOL,2018,milk and dairy,39.39,0.7161818181818181
BOL,2018,miscellaneous food,78.12,0.744
BTN,2018,cereals and tubers,79.84,0.4158333333333333
BTN,2018,pulses and nuts,158.16,0.8503225806451613
CAF,2018,cereals and tubers,252.474,0.4827418738049713
CAF,2018,"meat, fish and eggs",1289.69,5.9160091743119265
CAF,2018,oil and fats,205.12,1.47568345323741
CAF,2018,pulses and nuts,437.56,0.9134864300626304
CAF,2018,vegetables and fruits,35.81,5.115714285714286
CHN,2018,cereals and tubers,85.85,0.5140718562874251
CIV,2018,cereals and tubers,87.75,0.5929054054054054
CIV,2018,"meat, fish and eggs",278.05,3.7574324324324326
CIV,2018,miscellaneous food,18.17,1.297857142857143
CIV,2018,non-food,1.22,0.61
CIV,2018,oil and fats,20.82,1.487142857142857
CIV,2018,pulses and nuts,21.42,0.9736363636363636
CIV,2018,vegetables and fruits,3.48,0.58
CMR,2018,cereals and tubers,14711.92,22.29078787878788
CMR,2018,"meat, fish and eggs",297.09000000000003,3.1605319148936175
CMR,2018,oil and fats,47.21,1.097906976744186
CMR,2018,pulses and nuts,14414.3,54.80722433460076
CMR,2018,vegetables and fruits,4879.95,34.856785714285714
COD,2018,cereals and tubers,357.89,0.5915537190082645
COD,2018,"meat, fish and eggs",1049.48,5.895955056179775
COD,2018,miscellaneous food,302.71,1.2305284552845528
COD,2018,non-food,247.09,1.2542639593908629
COD,2018,oil and fats,279.43,1.376502463054187
COD,2018,pulses and nuts,188.1,1.000531914893617
COD,2018,vegetables and fruits,25.7,0.803125
COG,2018,cereals and tubers,304.65,1.2334008097165992
COG,2018,"meat, fish and eggs",1074.88,5.192657004830918
COG,2018,oil and fats,180.53,1.542991452991453
COG,2018,pulses and nuts,289.52,2.31616
COG,2018,vegetables and fruits,24.33,3.04125
COL,2018,cereals and tubers,23872.25,105.16409691629956
COL,2018,"meat, fish and eggs",206.076,2.4828433734939757
COL,2018,milk and dairy,20.06,1.18
COL,2018,miscellaneous food,49.66,0.8276666666666667
COL,2018,non-food,2265.22,37.13475409836065
COL,2018,oil and fats,25.57,1.5041176470588236
COL,2018,pulses and nuts,62.03,1.192884615384615
COL,2018,vegetables and fruits,234.66,0.5910831234256927
CPV,2018,cereals and tubers,107.21,0.9404385964912282
DJI,2018,cereals and tubers,589.54,2.224679245283019
DJI,2018,miscellaneous food,27.15,0.7337837837837838
DJI,2018,non-food,31.7,0.8805555555555555
DJI,2018,oil and fats,54.09,1.5025
DJI,2018,pulses and nuts,33.92,1.2114285714285715
DOM,2018,cereals and tubers,850.4300000000001,18.487608695652177
DOM,2018,"meat, fish and eggs",12.34,1.028333333333333
DOM,2018,pulses and nuts,1833.16,33.33018181818182
ECU,2018,cereals and tubers,867.5500000000001,5.9831034482758625
EGY,2018,cereals and tubers,16.36,0.4544444444444444
EGY,2018,"meat, fish and eggs",96.313,4.013041666666667
EGY,2018,milk and dairy,18.54,1.0905882352941176
EGY,2018,miscellaneous food,5.49,0.7842857142857144
EGY,2018,oil and fats,98.53,2.662972972972973
EGY,2018,pulses and nuts,17.99,1.124375
EGY,2018,vegetables and fruits,17.02,0.5673333333333334
ETH,2018,cereals and tubers,10751.53,37.20252595155709
ETH,2018,"meat, fish and eggs",1383.93,57.66375
ETH,2018,milk and dairy,13.81,1.381
ETH,2018,miscellaneous food,10.99,0.9990909090909093
ETH,2018,non-food,18.49,0.7395999999999999
GHA,2018,cereals and tubers,15872.29,42.78245283018868
GHA,2018,"meat, fish and eggs",3.32,3.32
GHA,2018,pulses and nuts,146.26,146.26
GHA,2018,vegetables and fruits,245.31,6.13275
GIN,2018,cereals and tubers,469.63,0.7586914378029079
GIN,2018,"meat, fish and eggs",667.52,2.8284745762711863
GIN,2018,miscellaneous food,53.63,0.8938333333333334
GIN,2018,oil and fats,218.95,1.2804093567251462
