country,category,sumPrice,meanPrice
MOZ,"meat, fish and eggs",1791.1,3.153345070422535
MOZ,miscellaneous food,829.75,0.9344031531531531
MOZ,non-food,1017.27,1.8263375224416516
MOZ,oil and fats,3551.22,6.6377943925233645
MOZ,pulses and nuts,2739.78,1.556693181818182
MOZ,vegetables and fruits,3050.37,1.339056189640035
MRT,cereals and tubers,433.77,0.7787612208258528
MRT,"meat, fish and eggs",51353.67,198.27671814671814
MRT,milk and dairy,310.39,4.2519178082191775
MRT,miscellaneous food,53.449999999999996,0.7746376811594202
MRT,non-food,3245.15,19.316369047619048
MRT,oil and fats,145.48,1.8184999999999998
MRT,pulses and nuts,126.97,1.8138571428571428
MWI,cereals and tubers,756.934,0.4095963203463203
MWI,"meat, fish and eggs",357.891,0.3221341134113411
MWI,miscellaneous food,212.11,1.0933505154639176
MWI,non-food,16826.316,4.849082420749279
MWI,oil and fats,325.4,1.7401069518716576
MWI,pulses and nuts,608.57,1.0385153583617748
MWI,vegetables and fruits,102.438,0.06197096188747732
NAM,cereals and tubers,435.642,0.9595638766519824
NER,cereals and tubers,8130.8,5.947915142648135
NGA,cereals and tubers,83490.03,25.912486033519553
NGA,"meat, fish and eggs",1511.717,2.9015681381957776
NGA,milk and dairy,462.73,3.643543307086614
NGA,miscellaneous food,138.89,0.5404280155642023
NGA,non-food,135.41,0.5331102362204724
NGA,oil and fats,814.06,2.0300748129675807
NGA,pulses and nuts,43711.79,34.91357028753994
NGA,vegetables and fruits,321.856,0.40434170854271356
NIC,cereals and tubers,1490.67,17.53729411764706
NIC,"meat, fish and eggs",75.75,2.2279411764705883
NIC,milk and dairy,23.84,2.1672727272727275
NIC,miscellaneous food,4.5600000000000005,0.38000000000000006
NIC,oil and fats,13.23,1.65375
NIC,pulses and nuts,866.61,30.950357142857143
NIC,vegetables and fruits,31.05,0.5447368421052632
NPL,cereals and tubers,363.66,0.5086153846153847
NPL,"meat, fish and eggs",1267.58,2.4283141762452107
NPL,milk and dairy,126.89,0.742046783625731
NPL,oil and fats,856.88,2.328478260869565
NPL,pulses and nuts,1224.39,1.6217086092715234
NPL,vegetables and fruits,1226.78,1.0096954732510288
PAK,cereals and tubers,73.38,0.43420118343195263
PAK,"meat, fish and eggs",97.17,1.2457692307692307
PAK,milk and dairy,25.62,0.7116666666666667
PAK,miscellaneous food,24.810000000000002,0.6202500000000001
PAK,non-food,296.79,2.558534482758621
PAK,oil and fats,162.79,2.034875
PAK,pulses and nuts,177.47,1.3145925925925925
PAN,cereals and tubers,347.48,9.14421052631579
PAN,pulses and nuts,1965.11,39.3022
PER,cereals and tubers,67.24,0.82
PER,"meat, fish and eggs",25.57,2.3245454545454547
PHL,cereals and tubers,2122.04,0.8721907110563091
PHL,"meat, fish and eggs",34700.71,4.590648233893372
PHL,miscellaneous food,40.76,0.9941463414634146
PHL,oil and fats,31.060000000000002,1.1946153846153846
PHL,pulses and nuts,1956.08,1.989908443540183
PHL,vegetables and fruits,15429.66,1.5452839258888333
PRY,cereals and tubers,36.28,0.7256
PSE,cereals and tubers,7225.8,19.960773480662983
PSE,"meat, fish and eggs",4495.46,9.751540130151843
PSE,milk and dairy,3326.27,7.294451754385965
PSE,miscellaneous food,523.38,1.9241911764705881
PSE,non-food,206.37,1.423241379310345
PSE,oil and fats,1455.56,8.512046783625731
PSE,pulses and nuts,372.2,2.056353591160221
PSE,vegetables and fruits,668.69,1.2810153256704981
RWA,cereals and tubers,586.558,0.46076826394344067
RWA,"meat, fish and eggs",493.84,2.374230769230769
RWA,miscellaneous food,188.46,0.6706761565836299
RWA,oil and fats,597.93,2.222788104089219
RWA,pulses and nuts,74.1,0.43588235294117644
RWA,vegetables and fruits,60.343,0.18624382716049384
SDN,cereals and tubers,8184.4,17.266666666666666
SDN,"meat, fish and eggs",1135.61,6.274088397790055
SDN,milk and dairy,794.21,8.92370786516854
SDN,miscellaneous food,241.09,1.2238071065989848
SDN,non-food,20.37,2.037
SDN,oil and fats,407.61,4.117272727272727
SDN,pulses and nuts,220.28,2.824102564102564
SDN,vegetables and fruits,363.58,2.1138372093023254
SEN,cereals and tubers,765.94,0.538257203092059
SEN,pulses and nuts,309.8,0.986624203821656
SLE,cereals and tubers,340.83,0.641864406779661
SLE,"meat, fish and eggs",764.63,6.3719166666666665
SLE,miscellaneous food,225.09,0.9915859030837004
SLE,oil and fats,375.69,1.5397131147540983
SLE,pulses and nuts,37.81,1.2603333333333333
SLE,vegetables and fruits,227.95000000000002,0.6804477611940299
SLV,cereals and tubers,313.31,6.962444444444444
SLV,pulses and nuts,9.8,0.7000000000000001
SOM,cereals and tubers,17359.18,37.01317697228145
SOM,milk and dairy,4633.19,61.77586666666666
SOM,miscellaneous food,3903.84,40.24577319587629
SOM,non-food,10919.56,41.837394636015325
SOM,oil and fats,3975.52,77.95137254901961
SSD,cereals and tubers,24363.9,16.495531482735274
SSD,"meat, fish and eggs",139462.1,144.37070393374742
SSD,milk and dairy,428.78,3.6337288135593218
SSD,miscellaneous food,807.96,2.8250349650349653
SSD,non-food,4540.58,4.59108190091001
SSD,oil and fats,1299.98,6.700927835051546
SSD,pulses and nuts,4253.09,6.199839650145773
SSD,vegetables and fruits,581.79,5.194553571428571
SWZ,cereals and tubers,391.51,1.846745283018868
SWZ,miscellaneous food,62.79,0.8843661971830986
SWZ,non-food,17.36,0.868
SWZ,oil and fats,51.96,1.8557142857142856
SWZ,pulses and nuts,70.9,2.085294117647059
SWZ,vegetables and fruits,30.68,0.95875
SYR,cereals and tubers,3599.538,0.8679860139860139
SYR,"meat, fish and eggs",146005.03,47.6362251223491
SYR,milk and dairy,2210.45,2.1092080152671753
SYR,miscellaneous food,796.414,0.7520434372049103
SYR,non-food,24698.889,2.3930713109194843
SYR,oil and fats,2068.2,3.7197841726618703
SYR,pulses and nuts,3142.73,2.0826573889993374
SYR,vegetables and fruits,4544.693,0.9630627251536343
TCD,cereals and tubers,554.75,0.5268281101614435
TCD,"meat, fish and eggs",44591.3,71.80563607085347
TCD,pulses and nuts,370.53000000000003,0.7515821501014199
TGO,cereals and tubers,120.53,0.6445454545454545
TJK,cereals and tubers,272.36,0.5090841121495328
TJK,"meat, fish and eggs",979.22,3.5608
TJK,milk and dairy,61.33,0.4681679389312977
TJK,miscellaneous food,560.504,1.9327724137931035
TJK,non-food,1081.17,3.124768786127168
TJK,oil and fats,258.52,2.0040310077519377
TJK,pulses and nuts,318.45,1.4409502262443439
TJK,vegetables and fruits,226.577,0.7950070175438596
TLS,cereals and tubers,606.33,0.9843019480519482
TLS,"meat, fish and eggs",248.99,1.7290972222222223
TLS,miscellaneous food,124.54,0.7832704402515723
TLS,non-food,17.25,1.0147058823529411
TLS,oil and fats,103.89,1.298625
TLS,pulses and nuts,171.76,2.26
TLS,vegetables and fruits,688.87,2.570410447761194
TUR,cereals and tubers,142.58,0.7665591397849463
TUR,"meat, fish and eggs",766.915,4.382371428571428
TUR,milk and dairy,838.02,6.253880597014925
TUR,miscellaneous food,966.65,3.746705426356589
TUR,non-food,515.265,4.0894047619047615
TUR,oil and fats,216.28,3.5455737704918033
TUR,pulses and nuts,302.81,2.3473643410852714
TUR,vegetables and fruits,310.22,0.95159509202454
TZA,cereals and tubers,41352.43,19.533504959848845
TZA,"meat, fish and eggs",2881.42,3.4221140142517816
TZA,miscellaneous food,246.57999999999998,1.2087254901960784
TZA,non-food,10.35,0.9409090909090909
TZA,oil and fats,650.63,3.0835545023696684
TZA,pulses and nuts,14877.8,14.730495049504949
TZA,vegetables and fruits,579.985,0.4785354785478548
UGA,cereals and tubers,443.676,0.468506863780359
UGA,"meat, fish and eggs",362.21,4.829466666666667
UGA,milk and dairy,26.4,0.44
UGA,miscellaneous food,56.88,0.5366037735849056
UGA,non-food,385.521,0.8399150326797385
UGA,oil and fats,405.13,2.035829145728643
UGA,pulses and nuts,186.97,0.7191153846153846
UGA,vegetables and fruits,37.95,0.4928571428571429
UKR,cereals and tubers,1943.67,0.7862742718446603
UKR,"meat, fish and eggs",5097.31,3.5846061884669482
UKR,milk and dairy,1504.33,2.5627427597955705
UKR,miscellaneous food,201.14000000000001,0.9578095238095239
UKR,non-food,2301.116,1.1203096397273613
UKR,oil and fats,1316.98,2.282461005199307
UKR,vegetables and fruits,388.22,0.3941319796954315
VNM,cereals and tubers,14.95,0.41527777777777775
YEM,cereals and tubers,2112.03,2.49060141509434
YEM,"meat, fish and eggs",83570.79,197.10091981132075
YEM,miscellaneous food,573.57,1.5295200000000002
YEM,non-food,21194.52,16.105258358662613
YEM,oil and fats,1156.0,5.048034934497816
YEM,pulses and nuts,2909.55,4.069300699300699
YEM,vegetables and fruits,806.57,2.116981627296588
ZAF,cereals and tubers,9.85,0.2736111111111111
ZMB,cereals and tubers,623.197,0.4842245532245532
ZMB,non-food,17.95,0.8547619047619047
ZMB,pulses and nuts,1321.94,1.5282543352601157
ZWE,cereals and tubers,1.06353,0.0012541627358490567
ZWE,"meat, fish and eggs",6.5978,0.019124057971014494
ZWE,miscellaneous food,1.11915,0.0014610313315926895
ZWE,non-food,1.92893,0.0016600086058519794
ZWE,oil and fats,1.2254,0.0031501285347043705
ZWE,pulses and nuts,1.4346,0.0038053050397877986
